north,west,south,east,Ozone_S,SO2,time
37.7734591889,-122.4042075169,37.7716625592,-122.401934609,55.9731725653,318.682018327,1448138316.64729
37.7734591889,-122.401934609,37.7716625592,-122.3996617012,54.1358248245,320.0863565414,1448138310.72979
37.7734591889,-122.3905700699,37.7716625592,-122.3882971621,53.443797468,322.5380613288,1448138302.74384
37.7752558187,-122.4428451824,37.7734591889,-122.4405722193,47.2097898423,286.9050340199,1448138296.55375
37.7752558187,-122.4405722193,37.7734591889,-122.4382992563,48.38382742,356.5758803616,1448138291.35212
37.7752558187,-122.4382992563,37.7734591889,-122.4360262932,48.0821482199,313.7984386772,1448138291.22085
37.7752558187,-122.4360262932,37.7734591889,-122.4337533302,47.3400994423,306.4312823707,1448138286.29424
37.7752558187,-122.4292074041,37.7734591889,-122.426934441,48.1193738004,302.7553202408,1448138285.39523
37.7752558187,-122.426934441,37.7734591889,-122.424661478,44.013729919,324.2077989396,1448138277.01727
37.7752558187,-122.424661478,37.7734591889,-122.4223885149,45.0745645811,236.8362184503,1448138265.90144
37.7752558187,-122.4223885149,37.7734591889,-122.4201155519,45.5493609377,313.1545723478,1448138261.33585
37.7752558187,-122.4201155519,37.7734591889,-122.4178425888,44.1469378951,183.3639581463,1448138261.23572
37.7752558187,-122.4155696258,37.7734591889,-122.4132966627,48.4992553803,292.0733284687,1448138246.36136
37.7752558187,-122.4132966627,37.7734591889,-122.4110236997,51.2882053692,310.4552626667,1448138241.39635
37.7752558187,-122.4110236997,37.7734591889,-122.4087507366,52.0818913367,312.0914066811,1448138236.59214
37.7752558187,-122.3996588844,37.7734591889,-122.3973859214,53.7562674622,323.6648500779,1448138236.31175
37.7752558187,-122.3905670322,37.7734591889,-122.3882940692,53.8984641115,320.0606674279,1448138235.28401
37.7770524484,-122.420113232,37.7752558187,-122.4178402137,44.543716036,369.4473869274,1448138221.55945
37.7770524484,-122.4178402137,37.7752558187,-122.4155671954,47.5996007586,324.3206999897,1448138216.82558
37.7770524484,-122.4132941771,37.7752558187,-122.4110211588,48.5321612101,292.9742610312,1448138211.42173
37.7770524484,-122.4110211588,37.7752558187,-122.4087481406,50.3458065245,302.2349222772,1448138207.84192
37.7770524484,-122.4087481406,37.7752558187,-122.4064751223,51.2076894193,308.415841734,1448138201.26523
37.7770524484,-122.3973830491,37.7752558187,-122.3951100308,53.3380290948,322.3838196091,1448138196.43699
37.7770524484,-122.3951100308,37.7752558187,-122.3928370126,56.4083338723,322.072981333,1448138191.31062
37.7770524484,-122.3905639943,37.7752558187,-122.388290976,53.4700652179,323.0076698545,1448138186.60185
37.7788490781,-122.4178378383,37.7770524484,-122.4155647648,45.8408329074,302.9143535965,1448138186.42998
37.7788490781,-122.4155647648,37.7770524484,-122.4132916913,41.4391939073,148.9152760999,1448138176.17142
37.7788490781,-122.4110186178,37.7770524484,-122.4087455442,48.387443838,292.1536516463,1448138171.88965
37.7788490781,-122.4087455442,37.7770524484,-122.4064724707,49.5272030096,303.0891251953,1448138161.57113
37.7788490781,-122.4064724707,37.7770524484,-122.4041993972,51.3879954387,308.9352916976,1448138156.41229
37.7788490781,-122.3951071031,37.7770524484,-122.3928340296,52.9194885321,320.8837894457,1448138156.41797
37.7788490781,-122.3928340296,37.7770524484,-122.390560956,54.2881312819,319.7087265701,1448138146.57042
37.7806457078,-122.4610249095,37.7788490781,-122.4587517807,59.7954908338,383.1904762681,1448138146.11564
37.7806457078,-122.415562334,37.7788490781,-122.4132892052,45.8342967641,279.049426532,1448138136.67851
37.7806457078,-122.4132892052,37.7788490781,-122.4110160765,45.5565193137,333.5070487966,1448138136.66138
37.7806457078,-122.4087429477,37.7788490781,-122.4064698189,48.2170779797,290.9503100441,1448138126.43282
37.7806457078,-122.4064698189,37.7788490781,-122.4041966901,49.3736558616,296.9803157426,1448138124.07006
37.7806457078,-122.4041966901,37.7788490781,-122.4019235614,50.4389432787,304.0644251706,1448138121.70225
37.7806457078,-122.3928310463,37.7788490781,-122.3905579175,53.9464490704,321.6334120546,1448138111.17821
37.7806457078,-122.3905579175,37.7788490781,-122.3882847887,54.2083517092,321.884594499,1448138106.07047
37.7824423375,-122.413286719,37.7806457078,-122.4110135349,47.5701143995,353.3027677492,1448138101.10652
37.7824423375,-122.4110135349,37.7806457078,-122.4087403509,47.0445237867,284.6209748406,1448138098.23694
37.7824423375,-122.4064671669,37.7806457078,-122.4041939829,48.4437020144,291.3986910122,1448138091.70356
37.7824423375,-122.4041939829,37.7806457078,-122.4019207988,50.3192052024,306.0551978943,1448138087.0761
37.7824423375,-122.4019207988,37.7806457078,-122.3996476148,54.8852692977,319.341372244,1448138086.70958
37.7824423375,-122.3905548787,37.7806457078,-122.3882816947,53.421067122,321.1187610671,1448138084.47483
37.7824423375,-122.3882816947,37.7806457078,-122.3860085107,53.4911414065,320.817069109,1448138071.83494
37.7842389673,-122.4110109932,37.7824423375,-122.4087377539,47.588698514,247.3801583218,1448138066.16097
37.7842389673,-122.4087377539,37.7824423375,-122.4064645146,46.2063447608,231.6012796947,1448138061.24353
37.7842389673,-122.4064645146,37.7824423375,-122.4041912753,48.2499342524,289.1239617967,1448138058.1923
37.7842389673,-122.4041912753,37.7824423375,-122.4019180361,48.5049615118,278.9416842415,1448138051.19383
37.7842389673,-122.4019180361,37.7824423375,-122.3996447968,52.1402557784,313.0224413389,1448138046.3018
37.7842389673,-122.3996447968,37.7824423375,-122.3973715575,53.4454763311,322.16717475,1448138046.12651
37.7842389673,-122.3905518397,37.7824423375,-122.3882786004,52.7129164236,320.5927990687,1448138041.30269
37.7842389673,-122.3882786004,37.7824423375,-122.3860053611,53.6668176379,320.0572422122,1448138031.14463
37.786035597,-122.4087351567,37.7842389673,-122.4064618621,45.7577188958,381.6164556991,1448138026.12715
